who,tick,xcor-init-pos,ycor-init-pos,floor-id-init-pos,platform-init-pos,floor-x-init-pos,floor-y-init-pos,floor-transition,xcor-final-pos,ycor-final-pos,floor-id-final-pos,platform--final-pos,floor-x-final-pos,floor-y-final-pos,heading,crowdness-0.8,crowdness-1,crowdness-1.2,crowdness-1.4
394,70,16.92355782819298,19.61855123324263,0,0,16,19,none,16.92355782819298,19.61855123324263,0,0,16,19,37.92616780739047,0,0,0,1
394,71,17.107951484817615,19.855192268138516,0,0,16,19,none,17.107951484817615,19.855192268138516,0,0,16,19,37.92616780739053,0,0,1,1
394,72,17.292345141442254,20.091833303034402,0,0,16,19,none,17.292345141442254,20.091833303034402,0,0,16,19,37.926167807390584,0,0,0,0
394,73,17.476738798066894,20.328474337930288,0,0,16,19,none,17.476738798066894,20.328474337930288,0,0,16,19,37.926167807390584,0,0,0,0
394,74,17.661132454691533,20.565115372826174,0,0,17,20,none,17.661132454691533,20.565115372826174,0,0,17,20,37.926167807390584,0,0,0,0
394,75,17.95607721691528,20.61995684651879,0,0,17,20,none,17.95607721691528,20.61995684651879,0,0,17,20,79.4668191697325,0,0,0,0
394,76,18.251021979139026,20.674798320211405,0,0,17,20,none,18.251021979139026,20.674798320211405,0,0,17,20,79.4668191697325,0,0,0,0
394,77,18.545966741362772,20.72963979390402,0,0,18,20,none,18.545966741362772,20.72963979390402,0,0,18,20,79.4668191697325,0,0,0,0
394,78,18.84091150358652,20.784481267596636,0,0,18,20,none,18.84091150358652,20.784481267596636,0,0,18,20,79.4668191697325,0,0,0,0
394,79,19.135856265810265,20.83932274128925,0,0,18,20,none,19.135856265810265,20.83932274128925,0,0,18,20,79.4668191697325,0,0,0,0
394,80,19.43080102803401,20.894164214981867,0,0,18,20,none,19.43080102803401,20.894164214981867,0,0,18,20,79.4668191697325,0,0,0,0
394,81,19.725745790257758,20.949005688674482,0,0,19,20,none,19.725745790257758,20.949005688674482,0,0,19,20,79.46681916973245,0,0,0,0
